x,actlevel,week,season
Week:5  Year:2018-19,7.452830189,5,201819
Week:6  Year:2018-19,7.660377358,6,201819
Week:7  Year:2018-19,8.056603774,7,201819
Week:8  Year:2018-19,8.056603774,8,201819
Week:9  Year:2018-19,7.679245283,9,201819
Week:10  Year:2018-19,7.641509434,10,201819
Week:11  Year:2018-19,7.264150943,11,201819
Week:12  Year:2018-19,6.301886792,12,201819
Week:13  Year:2018-19,5.056603774,13,201819
Week:14  Year:2018-19,3.943396226,14,201819
Week:15  Year:2018-19,2.849056604,15,201819
Week:16  Year:2018-19,2.188679245,16,201819
Week:17  Year:2018-19,1.79245283,17,201819
Week:18  Year:2018-19,1.509433962,18,201819
Week:19  Year:2018-19,1.320754717,19,201819
Week:20  Year:2018-19,1.452830189,20,201819
Week:21  Year:2018-19,1.301886792,21,201819
Week:22  Year:2018-19,1.307692308,22,201819
Week:23  Year:2018-19,1.056603774,23,201819
Week:24  Year:2018-19,1.056603774,24,201819
Week:25  Year:2018-19,1.018867925,25,201819
Week:26  Year:2018-19,0.962264151,26,201819
Week:27  Year:2018-19,0.981132075,27,201819
Week:28  Year:2018-19,0.962264151,28,201819
Week:29  Year:2018-19,0.981132075,29,201819
Week:30  Year:2018-19,0.962264151,30,201819
Week:31  Year:2018-19,1,31,201819
Week:32  Year:2018-19,0.962264151,32,201819
Week:33  Year:2018-19,0.962264151,33,201819
Week:34  Year:2018-19,0.981481481,34,201819
Week:35  Year:2018-19,1.037037037,35,201819
Week:36  Year:2018-19,1.12962963,36,201819
Week:37  Year:2018-19,1.075471698,37,201819
Week:38  Year:2018-19,1.226415094,38,201819
Week:39  Year:2018-19,1.283018868,39,201819
Week:40  Year:2018-19,1.301886792,40,201819
Week:41  Year:2018-19,1.264150943,41,201819
Week:42  Year:2018-19,1.377358491,42,201819
Week:43  Year:2018-19,1.490566038,43,201819
Week:44  Year:2018-19,1.641509434,44,201819
Week:45  Year:2018-19,1.849056604,45,201819
Week:46  Year:2018-19,2.188679245,46,201819
Week:47  Year:2018-19,2.641509434,47,201819
Week:48  Year:2018-19,2.471698113,48,201819
Week:49  Year:2018-19,2.603773585,49,201819
Week:50  Year:2018-19,3.509433962,50,201819
Week:51  Year:2018-19,4.528301887,51,201819
Week:52  Year:2018-19,6.20754717,52,201819
Week:40  Year:2019-20,1.37037037,40,201920
Week:41  Year:2019-20,1.574074074,41,201920
Week:42  Year:2019-20,1.944444444,42,201920
Week:43  Year:2019-20,2.074074074,43,201920
Week:44  Year:2019-20,2.462962963,44,201920
Week:45  Year:2019-20,2.962962963,45,201920
Week:46  Year:2019-20,3.759259259,46,201920
Week:47  Year:2019-20,4.074074074,47,201920
Week:48  Year:2019-20,5.203703704,48,201920
Week:49  Year:2019-20,5.222222222,49,201920
Week:50  Year:2019-20,6.132075472,50,201920
Week:51  Year:2019-20,7.019230769,51,201920
